b'czas: 67445 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.90 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 67578 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.74 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 67711 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.27 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 67844 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.36 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 67977 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.50 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68110 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.69 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68243 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.85 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68375 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.47 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68508 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.05 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68641 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.19 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68774 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.10 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 68907 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.02 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69040 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.95 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69173 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.64 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69306 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.96 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69438 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.71 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69571 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.57 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69704 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.24 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69837 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.50 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 69970 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.69 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70103 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.67 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70236 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.56 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70369 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.08 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70502 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.34 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70635 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.89 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70767 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.11 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 70900 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.95 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71033 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.73 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71166 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.87 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71298 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.59 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71431 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.60 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71564 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.09 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71697 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.50 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71830 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.90 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 71963 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.64 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72096 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.56 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72229 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.05 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72361 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72494 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.28 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72627 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.11 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72760 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.80 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72893 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.76 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73025 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.69 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73157 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.44 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73290 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.90 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
