b'pomiarI_1: -40.10 [A], pomiarV_2: 0.54 [V], pomiarI_2: -28.76 [A], \r\n'
b'czas: 5516 [s], pomiarVT_0: 5.01 [V], pomiarVT_1: 5.22 [V], pomiarI_0: -39.08 [A], pomiarI_1: -39.98 [A], pomiarV_2: 0.55 [V], pomiarI_2: -32.60 [A], \r\n'
b'czas: 5654 [s], pomiarVT_0: 5.22 [V], pomiarVT_1: 5.13 [V], pomiarI_0: -39.14 [A], pomiarI_1: -40.22 [A], pomiarV_2: 0.55 [V], pomiarI_2: -36.80 [A], \r\n'
b'czas: 5792 [s], pomiarVT_0: 5.43 [V], pomiarVT_1: 5.19 [V], pomiarI_0: -39.08 [A], pomiarI_1: -41.00 [A], pomiarV_2: 0.55 [V], pomiarI_2: -39.68 [A], \r\n'
b'czas: 5930 [s], pomiarVT_0: 5.49 [V], pomiarVT_1: 5.46 [V], pomiarI_0: -39.02 [A], pomiarI_1: -41.12 [A], pomiarV_2: 0.56 [V], pomiarI_2: -40.58 [A], \r\n'
b'czas: 6068 [s], pomiarVT_0: 5.55 [V], pomiarVT_1: 5.55 [V], pomiarI_0: -38.78 [A], pomiarI_1: -41.66 [A], pomiarV_2: 0.57 [V], pomiarI_2: -38.90 [A], \r\n'
b'czas: 6206 [s], pomiarVT_0: 5.37 [V], pomiarVT_1: 5.52 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.84 [A], pomiarV_2: 0.58 [V], pomiarI_2: -34.70 [A], \r\n'
b'czas: 6345 [s], pomiarVT_0: 5.40 [V], pomiarVT_1: 5.49 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.96 [A], pomiarV_2: 0.58 [V], pomiarI_2: -32.00 [A], \r\n'
b'czas: 6483 [s], pomiarVT_0: 5.16 [V], pomiarVT_1: 5.52 [V], pomiarI_0: -38.72 [A], pomiarI_1: -41.84 [A], pomiarV_2: 0.57 [V], pomiarI_2: -28.28 [A], \r\n'
b'czas: 6621 [s], pomiarVT_0: 5.04 [V], pomiarVT_1: 5.37 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.06 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.78 [A], \r\n'
b'czas: 6759 [s], pomiarVT_0: 5.04 [V], pomiarVT_1: 5.19 [V], pomiarI_0: -38.60 [A], pomiarI_1: -40.28 [A], pomiarV_2: 0.54 [V], pomiarI_2: -27.44 [A], \r\n'
b'czas: 6897 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -38.90 [A], pomiarI_1: -40.04 [A], pomiarV_2: 0.55 [V], pomiarI_2: -30.62 [A], \r\n'
b'czas: 7035 [s], pomiarVT_0: 5.13 [V], pomiarVT_1: 5.07 [V], pomiarI_0: -39.08 [A], pomiarI_1: -40.04 [A], pomiarV_2: 0.55 [V], pomiarI_2: -34.70 [A], \r\n'
b'czas: 7173 [s], pomiarVT_0: 5.31 [V], pomiarVT_1: 5.28 [V], pomiarI_0: -39.08 [A], pomiarI_1: -40.52 [A], pomiarV_2: 0.56 [V], pomiarI_2: -38.42 [A], \r\n'
b'czas: 7311 [s], pomiarVT_0: 5.52 [V], pomiarVT_1: 5.40 [V], pomiarI_0: -39.02 [A], pomiarI_1: -40.94 [A], pomiarV_2: 0.56 [V], pomiarI_2: -39.98 [A], \r\n'
b'czas: 7449 [s], pomiarVT_0: 5.55 [V], pomiarVT_1: 5.43 [V], pomiarI_0: -38.96 [A], pomiarI_1: -41.36 [A], pomiarV_2: 0.56 [V], pomiarI_2: -40.88 [A], \r\n'
b'czas: 7587 [s], pomiarVT_0: 5.46 [V], pomiarVT_1: 5.58 [V], pomiarI_0: -38.78 [A], pomiarI_1: -41.72 [A], pomiarV_2: 0.57 [V], pomiarI_2: -36.98 [A], \r\n'
b'czas: 7725 [s], pomiarVT_0: 5.40 [V], pomiarVT_1: 5.61 [V], pomiarI_0: -38.60 [A], pomiarI_1: -41.96 [A], pomiarV_2: 0.58 [V], pomiarI_2: -32.36 [A], \r\n'
b'czas: 7863 [s], pomiarVT_0: 5.13 [V], pomiarVT_1: 5.40 [V], pomiarI_0: -38.54 [A], pomiarI_1: -41.72 [A], pomiarV_2: 0.57 [V], pomiarI_2: -28.28 [A], \r\n'
b'czas: 8001 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.40 [V], pomiarI_0: -38.72 [A], pomiarI_1: -41.30 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.90 [A], \r\n'
b'czas: 8139 [s], pomiarVT_0: 5.01 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -38.66 [A], pomiarI_1: -40.28 [A], pomiarV_2: 0.55 [V], pomiarI_2: -27.32 [A], \r\n'
b'czas: 8277 [s], pomiarVT_0: 5.01 [V], pomiarVT_1: 5.10 [V], pomiarI_0: -38.96 [A], pomiarI_1: -39.92 [A], pomiarV_2: 0.54 [V], pomiarI_2: -30.86 [A], \r\n'
b'czas: 8415 [s], pomiarVT_0: 5.13 [V], pomiarVT_1: 5.07 [V], pomiarI_0: -39.02 [A], pomiarI_1: -39.98 [A], pomiarV_2: 0.55 [V], pomiarI_2: -34.76 [A], \r\n'
b'czas: 8553 [s], pomiarVT_0: 5.37 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -39.08 [A], pomiarI_1: -40.46 [A], pomiarV_2: 0.55 [V], pomiarI_2: -38.60 [A], \r\n'
b'czas: 8691 [s], pomiarVT_0: 5.52 [V], pomiarVT_1: 5.22 [V], pomiarI_0: -39.14 [A], pomiarI_1: -41.06 [A], pomiarV_2: 0.56 [V], pomiarI_2: -39.80 [A], \r\n'
b'czas: 8829 [s], pomiarVT_0: 5.52 [V], pomiarVT_1: 5.46 [V], pomiarI_0: -38.84 [A], pomiarI_1: -41.30 [A], pomiarV_2: 0.56 [V], pomiarI_2: -40.94 [A], \r\n'
b'czas: 8967 [s], pomiarVT_0: 5.49 [V], pomiarVT_1: 5.52 [V], pomiarI_0: -38.72 [A], pomiarI_1: -41.84 [A], pomiarV_2: 0.58 [V], pomiarI_2: -37.10 [A], \r\n'
b'czas: 9105 [s], pomiarVT_0: 5.31 [V], pomiarVT_1: 5.58 [V], pomiarI_0: -38.72 [A], pomiarI_1: -41.84 [A], pomiarV_2: 0.57 [V], pomiarI_2: -32.90 [A], \r\n'
b'czas: 9244 [s], pomiarVT_0: 5.28 [V], pomiarVT_1: 5.55 [V], pomiarI_0: -38.84 [A], pomiarI_1: -41.90 [A], pomiarV_2: 0.57 [V], pomiarI_2: -30.08 [A], \r\n'
b'czas: 9382 [s], pomiarVT_0: 5.07 [V], pomiarVT_1: 5.43 [V], pomiarI_0: -38.84 [A], pomiarI_1: -41.66 [A], pomiarV_2: 0.57 [V], pomiarI_2: -27.20 [A], \r\n'
b'czas: 9520 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.28 [V], pomiarI_0: -38.78 [A], pomiarI_1: -40.76 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.66 [A], \r\n'
b'czas: 9658 [s], pomiarVT_0: 5.01 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -38.78 [A], pomiarI_1: -40.28 [A], pomiarV_2: 0.54 [V], pomiarI_2: -28.82 [A], \r\n'
b'czas: 9796 [s], pomiarVT_0: 5.04 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -39.02 [A], pomiarI_1: -39.92 [A], pomiarV_2: 0.55 [V], pomiarI_2: -32.18 [A], \r\n'
b'czas: 9934 [s], pomiarVT_0: 5.19 [V], pomiarVT_1: 5.19 [V], pomiarI_0: -39.14 [A], pomiarI_1: -40.22 [A], pomiarV_2: 0.56 [V], pomiarI_2: -36.80 [A], \r\n'
b'czas: 10072 [s], pomiarVT_0: 5.40 [V], pomiarVT_1: 5.22 [V], pomiarI_0: -39.14 [A], pomiarI_1: -40.76 [A], pomiarV_2: 0.56 [V], pomiarI_2: -39.44 [A], \r\n'
b'czas: 10210 [s], pomiarVT_0: 5.49 [V], pomiarVT_1: 5.49 [V], pomiarI_0: -39.08 [A], pomiarI_1: -41.24 [A], pomiarV_2: 0.56 [V], pomiarI_2: -40.34 [A], \r\n'
b'czas: 10348 [s], pomiarVT_0: 5.52 [V], pomiarVT_1: 5.43 [V], pomiarI_0: -38.78 [A], pomiarI_1: -41.60 [A], pomiarV_2: 0.58 [V], pomiarI_2: -40.10 [A], \r\n'
b'czas: 10487 [s], pomiarVT_0: 5.34 [V], pomiarVT_1: 5.46 [V], pomiarI_0: -38.84 [A], pomiarI_1: -41.72 [A], pomiarV_2: 0.58 [V], pomiarI_2: -37.34 [A], \r\n'
